galaxy,ra_deg_icrs,dec_deg_icrs,ra_hms_icrs,dec_dms_icrs,coordinate_source,observation_programs,observation_ids,available_i2d_filters,cluster_or_group,membership_basis,membership_reference,distance_mpc,distance_stat_uncertainty_mpc,distance_systematic_uncertainty_mpc,distance_modulus_mag,distance_modulus_stat_uncertainty_mag,distance_method,distance_scope,distance_reference,distance_notes
NGC 4621,190.5094087500,11.6469194444,12:42:02.258,+11:38:48.91,TARG_RA/TARG_DEC in data/NGC 4621/jw03055-o009_t009_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o009_t009,GO-3055:F090W+F150W,Virgo Cluster,GO-3055 TRGB-SBF target context; established Virgo membership,https://arxiv.org/abs/2603.11160,14.595,0.175,,30.821,0.026,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4636,190.7076387500,2.6877638889,12:42:49.833,+02:41:15.95,TARG_RA/TARG_DEC in data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o014_t014,GO-3055:F090W+F150W,NGC 4636 Group / Virgo Southern Extension,Published subgroup membership within the extended Virgo environment,https://arxiv.org/abs/1409.3283,16.368,0.196,,31.070,0.026,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4649,190.9165333333,11.5526944444,12:43:39.968,+11:33:09.70,TARG_RA/TARG_DEC in data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o010_t010,GO-3055:F090W+F150W,Virgo Cluster,GO-3055 TRGB-SBF target context; established Virgo membership,https://arxiv.org/abs/2603.11160,15.915,0.183,,31.009,0.025,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4697,192.1495754167,-5.8006888889,12:48:35.898,-05:48:02.48,TARG_RA/TARG_DEC in data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o011_t011,GO-3055:F090W+F150W,NGC 4697 Group / Virgo II Southern Extension,Published group membership,https://doi.org/10.1111/j.1365-2966.2006.10982.x,11.609,0.150,,30.324,0.028,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC4486A,187.7407129167,12.2709805556,12:30:57.771,+12:16:15.53,TARG_RA/TARG_DEC in data/NGC4486A/jw07763-o034_t034_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o034_t034,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,18.281,0.505,1.100,31.310,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E2; 1.1 Mpc common systematic listed separately.
NGC4486B,187.6332079167,12.4901638889,12:30:31.970,+12:29:24.59,TARG_RA/TARG_DEC in data/NGC4486B/jw07763-o044_t044_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o044_t044,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.293,0.525,1.100,31.060,0.070,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E1; 1.1 Mpc common systematic listed separately.
PGC 040707,186.6383650000,12.7429805556,12:26:33.208,+12:44:34.73,TARG_RA/TARG_DEC in data/PGC 040707/jw07763-o071_t071_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o071_t071,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
PGC 040723,186.6658929167,12.5135527778,12:26:39.814,+12:30:48.79,TARG_RA/TARG_DEC in data/PGC 040723/jw07763-o074_t074_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o074_t074,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
PGC 041156,187.3479850000,12.4508027778,12:29:23.516,+12:27:02.89,TARG_RA/TARG_DEC in data/PGC 041156/jw07763-o063_t063_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o063_t063,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.904,0.778,1.100,31.140,0.100,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE1,N; 1.1 Mpc common systematic listed separately."
PGC 041723,188.3943000000,11.2619000000,12:33:34.632,+11:15:42.84,TARG_RA/TARG_DEC in data/PGC 041723/jw07763-o064_t064_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o064_t064,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,18.365,0.423,1.100,31.320,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=dS0 pec; 1.1 Mpc common systematic listed separately.
PGC 041782,188.5280979167,12.7415722222,12:34:06.744,+12:44:29.66,TARG_RA/TARG_DEC in data/PGC 041782/jw07763-o073_t073_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o073_t073,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.904,0.856,1.100,31.140,0.110,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE0,N; 1.1 Mpc common systematic listed separately."
PGC 041959,188.9052000000,12.3820000000,12:35:37.248,+12:22:55.20,TARG_RA/TARG_DEC in data/PGC 041959/jw07763-o066_t066_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o066_t066,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.631,1.944,1.100,30.970,0.270,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E0; 1.1 Mpc common systematic listed separately.
